	gene_short_name
Pax3	Pax3
Sgpp2	Sgpp2
Gm28410	Gm28410
Farsb	Farsb
BC035947	BC035947
Mogat1	Mogat1
5730419F03Rik	5730419F03Rik
Gm29611	Gm29611
Acsl3	Acsl3
Utp14b	Utp14b
Gm29536	Gm29536
Kcne4	Kcne4
Gm29187	Gm29187
Scg2	Scg2
Ap1s3	Ap1s3
Wdfy1	Wdfy1
Mrpl44	Mrpl44
Serpine2	Serpine2
9830004L10Rik	9830004L10Rik
Fam124b	Fam124b
2310015K22Rik	2310015K22Rik
Cul3	Cul3
Gm29125	Gm29125
1700016L21Rik	1700016L21Rik
Dock10	Dock10
Nyap2	Nyap2
Irs1	Irs1
Gm9747	Gm9747
Rhbdd1	Rhbdd1
Gm28940	Gm28940
Col4a4	Col4a4
Col4a3	Col4a3
Mff	Mff
Tm4sf20	Tm4sf20
Gm28942	Gm28942
Agfg1	Agfg1
Slc19a3	Slc19a3
Krtap28-10	Krtap28-10
Krtap28-13	Krtap28-13
Ccl20	Ccl20
Daw1	Daw1
Sphkap	Sphkap
4933436I20Rik	4933436I20Rik
Pid1	Pid1
Dner	Dner
Trip12	Trip12
Fbxo36	Fbxo36
Slc16a14	Slc16a14
C130026I21Rik	C130026I21Rik
A530032D15Rik	A530032D15Rik
Gm10553	Gm10553
A530040E14Rik	A530040E14Rik
Gm16028	Gm16028
Gm16025	Gm16025
Gm16092	Gm16092
G530012D18Rik	G530012D18Rik
Sp110	Sp110
Gm16094	Gm16094
Sp140	Sp140
Gm10552	Gm10552
Gm17017	Gm17017
Sp100	Sp100
A630001G21Rik	A630001G21Rik
9930111H07Rik	9930111H07Rik
Cab39	Cab39
Itm2c	Itm2c
4933407L21Rik	4933407L21Rik
Gm28884	Gm28884
Gpr55	Gpr55
Gm28100	Gm28100
Spata3	Spata3
2810459M11Rik	2810459M11Rik
Psmd1	Psmd1
Htr2b	Htr2b
Gm21972	Gm21972
Armc9	Armc9
Gm16341	Gm16341
B3gnt7	B3gnt7
Gm28626	Gm28626
Ncl	Ncl
Nmur1	Nmur1
1700019O17Rik	1700019O17Rik
Ptma	Ptma
Pde6d	Pde6d
Cops7b	Cops7b
Nppc	Nppc
Dis3l2	Dis3l2
Gm28375	Gm28375
Gm29371	Gm29371
Alppl2	Alppl2
Alpi	Alpi
Akp3	Akp3
Gm29374	Gm29374
Ecel1	Ecel1
Prss56	Prss56
Chrnd	Chrnd
Chrng	Chrng
Eif4e2	Eif4e2
Efhd1	Efhd1
Efhd1os	Efhd1os
Gigyf2	Gigyf2
Kcnj13	Kcnj13
3110079O15Rik	3110079O15Rik
Ngef	Ngef
Neu2	Neu2
Inpp5d	Inpp5d
Atg16l1	Atg16l1
Sag	Sag
Dgkd	Dgkd
Gm19582	Gm19582
Usp40	Usp40
Ugt1a10	Ugt1a10
Ugt1a9	Ugt1a9
Ugt1a8	Ugt1a8
Ugt1a7c	Ugt1a7c
Ugt1a6b	Ugt1a6b
Ugt1a6a	Ugt1a6a
Ugt1a5	Ugt1a5
Ugt1a2	Ugt1a2
Dnajb3	Dnajb3
Ugt1a1	Ugt1a1
Mroh2a	Mroh2a
Hjurp	Hjurp
Trpm8	Trpm8
